| date | open | last | high | low | volume | amount | exchange |
| 2025-09-09 | 9552.39 | 9414.71 | 9672.58 | 9358.33 | 153104 | 59352120000 | 1.46 |
| 2025-09-08 | 9432.56 | 9595.36 | 9626.65 | 9432.56 | 183323 | 68661860000 | 1.75 |
| 2025-09-05 | 9140.07 | 9409.98 | 9429.58 | 9076.29 | 160415 | 60736990000 | 1.53 |
| 2025-09-04 | 9479.1 | 9135.41 | 9483.71 | 9009.82 | 191088 | 72256530000 | 1.82 |
| 2025-09-03 | 9452.63 | 9460.33 | 9572.79 | 9396.02 | 175311 | 68240930000 | 1.67 |
| 2025-09-02 | 9492.14 | 9443.59 | 9631.72 | 9355.73 | 214920 | 81470890000 | 2.05 |
| 2025-09-01 | 9201.02 | 9464.88 | 9468.85 | 9181.21 | 223175 | 81886550000 | 2.13 |
| 2025-08-29 | 8970.45 | 9167.42 | 9213.86 | 8970.44 | 199580 | 69773250000 | 1.90 |
| 2025-08-28 | 8967.34 | 8981.08 | 9021.46 | 8752.68 | 210723 | 65690370000 | 2.01 |
| 2025-08-27 | 9184.5 | 8979.04 | 9240.53 | 8979.04 | 234323 | 71355670000 | 2.24 |
| 2025-08-26 | 9233.44 | 9170.82 | 9249.21 | 9154 | 186168 | 59201040000 | 1.78 |
| 2025-08-25 | 9097.36 | 9258.81 | 9258.81 | 9097.36 | 236919 | 76184810000 | 2.26 |
| 2025-08-22 | 9022.71 | 9065.85 | 9066.29 | 8964.2 | 159003 | 53197040000 | 1.52 |
| 2025-08-21 | 8942 | 8993.51 | 9047.48 | 8942 | 170464 | 57139670000 | 1.63 |
| 2025-08-20 | 8811.74 | 8913.43 | 8913.43 | 8753.57 | 168083 | 52953910000 | 1.61 |
| 2025-08-19 | 8960.05 | 8847.7 | 9108.28 | 8845.93 | 199758 | 69007890000 | 1.91 |
| 2025-08-18 | 8913 | 8951.71 | 8981.18 | 8897.48 | 205388 | 62877560000 | 1.96 |
| 2025-08-15 | 8801.27 | 8893.99 | 8930.87 | 8785.14 | 160807 | 48231990000 | 1.54 |
| 2025-08-14 | 8924.01 | 8827.89 | 8977.34 | 8814.67 | 157052 | 52926270000 | 1.50 |
| 2025-08-13 | 8753.78 | 8903.12 | 8920.11 | 8732.65 | 170799 | 59178060000 | 1.63 |
| 2025-08-12 | 8758.14 | 8737.62 | 8811.92 | 8695.08 | 131026 | 41956550000 | 1.25 |
